title	answer	time	href
在收到财务处发送的短信时，会出现少字的情况，为什么？	财务处通过学校的短信发送平台发布信息时，财务处内部执行严格的信息发送内部三级审核制度，确保发送的信息准确。但接到少数老师反映收到财务处发送的短信时会出现少字的情况，经调查了解，使用中国移动服务商的老师，所接收发布的信息是完整准确的一条，但使用其他服务商如中国电信的会出现分条甚至少字的信息。针对这种情况，财务处已反映并提交学校信息化办公室，信息化办公室认为可能是学校发送平台系统与电信服务商接口交换中出现的问题，信息化办公室将完善信息发送技术保障，确保信息发送的准确完整。	2016-10-20	http://tjcwc.tongji.edu.cn/index.php?classid=9783&newsid=17279&t=show
本专科学生应如何缴纳学费、住宿费？	学校按规定的标准每学年收取学费，并收取住宿学生的住宿费，在秋季开学报到注册时办理收费。学校的收费方式主要有银行托收、网上缴费平台自助缴费、自助缴费pos机缴费。如采用农行卡托收缴费，在报到注册日之前5天（T+5），将学费住宿费预先足额存入学校为你统一办理的农业银行“金穗借记卡”账户内，学校统一通过银行托收；如采用网上缴费，请登录学校网上缴费平台/payment/，用户名为学号，初始密码为18位身份证号的倒数第7位至倒数第2位。进入系统后，请认真阅读系统的操作指南后使用。网上缴费平台可以用银行卡和支付宝网上支付学费。自助缴费pos机位于四平路校区行政楼南北楼二楼通道和嘉定校区财务办公室（同心楼二楼）,学生可以使用带有银联标志的银行卡刷卡缴费。如需要学费住宿费缴费票据，请开学两周后或缴费成功7个工作日后到四平校区行政北楼212室，凭本人一卡通等证明本人身份的证件领取，也可由学院派人统一领取。（注：学校每学年就当年的缴费安排和要求会做出通知，请学生注意学院公告、学校电子公告栏、同济报、财务处网页等）留学生缴纳学费平时可至财务处办理缴费，缴费方式为银行卡或现金，地点为四平路校区财务处人员经费科（行政北楼212室）及嘉定校区财务办（行政南楼114室）。缴费时间为：上午8:00---11:15    下午1:30---4:00（周二下午不办理）	2016-06-27	http://tjcwc.tongji.edu.cn/index.php?classid=9782&newsid=17055&t=show
教职工办理离校手续到财务处盖章在哪里用印？	至四平路校区行政北楼212室人员经费科查询是否借款、231室财务结算中心办理校园卡销卡、行政北楼216室预算管理科办理各项经费销户，最后到综合管理科用印。	2016-06-27	http://tjcwc.tongji.edu.cn/index.php?classid=9783&newsid=17071&t=show
项目招投标银行资信证明和保函怎么办理？	项目招投标银行资信证明和银行履约保函都在四平路校区行政北楼217室财务处综合管理科办理。办理银行资信证明，需填写《同济大学银行资信证明申请单》（见财务处网站下载专区），经项目负责人签字，科技处盖章，oa系统印鉴申请批准，银行手续费300元/份；办理保函需提供申请报告及合同或中标通知书等文件原件1份,银行手续费一般500元/年。	2016-06-27	http://tjcwc.tongji.edu.cn/index.php?classid=9783&newsid=17074&t=show
研究生应如何缴纳培养费、住宿费？	学费在每年九月份收取。学校的收费方式主要有网上缴费平台自助缴费、自助缴费pos机缴费和银行转账付款（此方式仅适用委培单位付款）。如采用网上缴费，请登录学校网上缴费平台http://cwc.tongji.edu.cn/payment/，用户名为学号，初始密码为18位身份证号的倒数第7位至倒数第2位。进入系统后，请认真阅读系统的操作指南后使用。网上缴费平台可以用银行卡和支付宝网上支付学费。自助缴费pos机位于四平路校区行政楼南北楼二楼通道和嘉定校区财务办公室（同心楼二楼）,学生可以使用带有银联标志的银行卡刷卡缴费。银行转账付款仅适用委培单位付费使用（户名：同济大学账号033267-00812000848开户行：中国农业银行股份有限公司上海翔殷支行（五角场支行营业部），汇款用途栏必须注明学费、学生的学号、姓名。入学报到时，请学生自行至财务处审核大厅查询到款，打印到款单交至行政北楼212室，办理缴费事宜）。如需要学费住宿费缴费票据，请开学两周后或缴费成功7个工作日后到四平校区行政北楼212室，凭本人一卡通等证明本人身份的证件领取，也可由学院派人统一领取。（注：学校每学年就当年的缴费安排和要求会做出通知，请学生注意学院公告、学校电子公告栏、同济报、财务处网页等）	2016-06-27	http://tjcwc.tongji.edu.cn/index.php?classid=9782&newsid=17056&t=show
财务处的主要沟通渠道？	报销方面事宜可以向财务处审核报销大厅咨询岗咨询，联系电话65985989-8001，报销及其他事宜还可以登录财务处网上查询系统的“系统留言”或发送邮件（tjcwc@tongji.edu.cn）联系沟通。	2016-06-27	http://tjcwc.tongji.edu.cn/index.php?classid=9783&newsid=17075&t=show
教学经费和其他经费预算调整如何办理？	项目负责人按照各项经费主管部门的要求，以OA申请报告形式向主管部门提出预算调整申请，申请报告中说明预算调整事项、理由以及各预算项调整表。主管部门批示后转财务处主管副处长批示，后转预算管理科办理预算调整。各项经费与主管部门的对应关系为：本科教学经费—教务处、研究生教学经费—研究生院、基本科研业务费—科学技术研究院、基本科研业务费（文科类）—文科办公室、“双一流”经费—学科办、捐赠基金项目—基金会。	2016-06-28	http://tjcwc.tongji.edu.cn/index.php?classid=9783&newsid=17077&t=show
报销后通过银行转账，是否可以取得汇款凭据？	办理银行转账后，可至银行出纳柜台通过提供凭证号或相应的金额、转账单位名称等信息索取转账回单。一般可索取时间：上海本地转账在办理业务2天后，外地转账在办理业务3天后。（注：不含双休日，节假日）。取得回单后自行复印，并归还原件。	2016-06-27	http://tjcwc.tongji.edu.cn/index.php?classid=9783&newsid=17070&t=show
学校收入发票如何开具？	增值税发票在四平路校区审核出纳科和嘉定校区财务办都可以办理，通过登陆预开票据管理系统开票申请，需上传科研合同及支付税款经费。	2016-06-27	http://tjcwc.tongji.edu.cn/index.php?classid=9783&newsid=17072&t=show
“三助金”、研究生答辩费在哪里办理发放?	四平路校区学生的“三助金”、研究生答辩费办理地点是行政楼二楼财务结算中心，地点：行政楼231室，联系电话：65983748；嘉定校区学生的酬金办理在嘉定校区财务办公室，地点：同心楼227室，联系电话：69589016。	2016-06-27	http://tjcwc.tongji.edu.cn/index.php?classid=9783&newsid=17069&t=show
科研项目经费已到款如何办理立卡和入账手续？	入账流程分三步：、经办人携带通过财务网站查询系统或财务处自助查询机打印的到款凭证、科研项目任务书（预算书）或合同书，至科管部（行政北楼三楼分管纵向科研项目人员）或文科办（行政北楼室）办理立项，至综合服务大厅科管部或转化中心打印《科技项目经费进账通知单》；、经办人携带《科技项目经费进账通知单》和有科研院或文科办盖章的项目预算书（或任务书）至综合服务大厅财务处窗口办理项目立卡和设置预算手续，无预算的一般纵向项目和文科项目需在《科技项目经费进账通知单》第四联备注栏中写明无预算并加盖科研院或文科办公章；、经办人携带到款凭证、科技项目经费进账通知单、合同书至审核大厅收入柜台办理项目经费到款的入账手续。如果是已立卡项目的后续经费到款可凭到款凭证和科研院或文科办打印的《科技项目经费进账通知单》直接去报销大厅的收入柜台办理入账手续。	2017-10-23	http://tjcwc.tongji.edu.cn/index.php?classid=9780&newsid=17445&t=show
同济大学开票信息（内含纳税人识别号）	单位名称：同济大学纳税人识别号（税号）：银行账号：开户银行：中国农业银行股份有限公司上海翔殷支行（五角场支行营业部）单位地址：上海市四平路号	2017-06-19	http://tjcwc.tongji.edu.cn/index.php?classid=9783&newsid=17380&t=show
关于科研项目业务费卡和绩效费卡的说明	根据国家和学校关于科技项目经费管理的办法，我校对于间接费制定了相应的分配办法，对科技项目结题结账也制定了结余经费管理办法，并为项目负责人设立了相应的科研项目业务费卡和绩效卡，现将科研业务费卡和绩效卡的相关情况做说明如下：  	2018-01-08	http://tjcwc.tongji.edu.cn/index.php?classid=9780&newsid=17469&t=show
科研项目资金决算的审核有何规定？	项目负责人按照主管部门的决算要求，根据财务系统的明细账和预算执行情况如实编制项目资金决算表，不得随意调账变动支出、随意修改记账凭证，保证账表相符、账实相符。有分包或分卡的项目，还需在财务处网站下载填写《国家科技计划项目经费财务支出决算表》（合并决算表），同时提供有分包（协作）单位财务部门盖章的决算表，如果项目负责人根据审计报告填写决算表，需复印审计报告中的决算表，交行政北楼211室财务处科研经费管理科审核和盖章。	2016-06-27	http://tjcwc.tongji.edu.cn/index.php?classid=9780&newsid=17040&t=show
如何办理科研项目的结账？	根据《同济大学科技项目结题结账及结余经费管理办法》（同济科[2016]3号）的规定，项目负责人应在项目合同结束后6个月内到科研院或文科办办理结题手续，在项目结题后6个月内到财务处办理结账手续。项目负责人在科研院网站下载《结题审核表》和财务处网站下载《结余经费结账申请表》，经相关部门审核后至财务处科研经费管理科（行政北楼211室）办理结账，结账后原项目经费卡停止使用，国家和地方财政性支持的项目（纵向课题）结余经费全部转入项目的责任的科研项目业务费B卡，非财政性支持的项目(横向课题)结余经费的2%交学校科技发展基金，其余转入项目负责人的科研项目业务费A卡。	2016-06-27	http://tjcwc.tongji.edu.cn/index.php?classid=9780&newsid=17038&t=show
科研绩效卡如何使用？	科研绩效卡是在办理国家科技项目(有绩效费预算)立卡时财务处给项目负责人设立的，卡号的构成是：部门号+2197+负责人工号。根据《同济大学执行国家科技计划和公益性行业科研专项等计划中有关绩效奖励的实施细则》（同科[2012]33号）第六条、第七条绩效奖励费用由课题（项目）负责人统筹安排，根据团队成员研究工作量多少、责任和贡献大小予以分配。第一次办理绩效奖励手续时，需携带课题（项目）任务书或预算书，由科技处主管部门人员计算核实奖励费用并填写《奖励受理表》到财务处科研经费管理科（行政北楼二楼211室）盖章交审核大厅收入柜台办理科研绩效费的转账手续，即将已计提的绩效费按科技处核批的奖励金额转入课题（项目）负责人的绩效费卡。科研绩效奖励费的支付手续同科研酬金（劳务费）发放手续一样，通过酬金系统上传后到财务处财务结算中心或其他嘉定校区财务办公室办理绩效奖励费的发放手续。	2016-06-27	http://tjcwc.tongji.edu.cn/index.php?classid=9780&newsid=17036&t=show
项目要延期如何办理？	项目负责人按照各项经费主管部门的要求，以OA申请报告形式向主管部门提出延期申请，写明延期理由、必要性以及申请延期到什么时间，主管部门批示后转财务处主管副处长批示，后转预算管理科办理延期。各项经费与主管部门的对应关系为：本科教学经费—教务处、研究生教学经费—研究生院、基本科研业务费—科学技术研究院、基本科研业务费（文科类）—文科办公室、“双一流”经费—学科办、捐赠基金项目—基金会、非学历办班经费—财务处、会议收费项目—财务处。	2016-06-27	http://tjcwc.tongji.edu.cn/index.php?classid=9780&newsid=17042&t=show
科研项目业务费卡如何使用？	科研项目业务卡分A卡和B卡，如果是国家和地方财政性支持的科技项目（纵向课题），项目结余经费全部转入科研项目业务费卡B，卡号的构成是：部门号+2196+负责人工号，开支范围仅限于科学研究过程中直接相关的费用，包括设备费、材料费、测试化验加工费、燃料动力费、差旅费、会议费、国际合作交流费、出版/文献/信息传播/知识产权事务费、劳务费、（课题组没有工作性收入的人员）、专家咨询费。如果是非财政性支持的科技项目（横向课题），项目结余经费98%转入项目负责人的科研项目业务费卡A，卡号的构成是：部门号+2198+负责人工号，开支范围按《同济大学科技项目经费管理实施细则》第四条第一款执行。	2016-06-27	http://tjcwc.tongji.edu.cn/index.php?classid=9780&newsid=17039&t=show
国家科技计划项目中间接费用如何计提？	凡我校的国家科技计划项目都按项目预算中列明的间接费用（含管理费和绩效费）数额计提。具体操作按每次项目经费实际到款占总项目经费数的比例乘以间接费用预算数（含管理费和绩效费）计提间接费用。	2016-06-27	http://tjcwc.tongji.edu.cn/index.php?classid=9780&newsid=17035&t=show
如何办理项目签字报销授权？	从财务处网站下载填写《同济大学项目经费使用授权委托书》，科研项目的授权委托书交行政北楼211室财务处科研经费管理科或嘉定校区财务办，教学及其他项目的授权委托书交行政北楼216室财务处预算管理科，财务处根据授权委托书的内容在项目的备注栏中进行标识，被授权人在授权额度内可以行使经费审批签字报销权。	2016-06-27	http://tjcwc.tongji.edu.cn/index.php?classid=9780&newsid=17032&t=show
科研项目经费到款如何查询？	登录财务查询系统，进入“财务查询—我的往来查询—财务到款查询”的栏目按汇款单位或到款金额查询项目经费的到款情况，也可通过财务处审核报销大厅的自助查询机，输入汇款金额查询项目的到款情况，并可打印出到款凭证办理入账。	2016-06-27	http://tjcwc.tongji.edu.cn/index.php?classid=9780&newsid=17033&t=show
经费卡丢失了怎么办？	2016年开始财务处已将所有项目与负责人的校园一卡通绑定，新增项目不再发放经费卡，项目负责人凭本人一卡通即可办理报销业务，或登录财务处网站通过项目授权系统对其他经办人进行授权使用。对于遗失的经费卡不再补办，只需致电：65988629（科研经费）或65981247（教学及其他经费）口头挂失，财务处在项目的备注栏中标注“经费卡遗失，凭一卡通办理报销”即可。	2016-06-27	http://tjcwc.tongji.edu.cn/index.php?classid=9779&newsid=17028&t=show
经费卡密码丢失了怎么办？	仍在使用经费卡的，密码丢失，请先登录同济大学财务处网站，下载《同济大学经费卡恢复初始密码申请表》，填写相关内容并加盖公章，项目负责人携带此申请表、IC卡及本人身份证原件（如果委托他人前来办理，请同时携带被委托人身份证原件）前往四平校区行政北楼216室财务处预算管理科办理相关手续。若是已使用一卡通的，密码丢失，请项目负责人携带本人身份证原件（如果委托他人前来办理，请同时携带被委托人身份证原件）前往四平校区行政北楼115室财务处会计科办理相关手续。	2016-06-27	http://tjcwc.tongji.edu.cn/index.php?classid=9779&newsid=17029&t=show
如何更改经费卡密码？	请输入用户名与密码登录同济大学财务综合服务系统，进入财务查询系统，在网页左边的“财务信息发布”栏目下点击“信息维护”进行经费卡密码修改。也可至四平校区行政楼一楼审核出纳科报销大厅自助查询机上进行密码修改。	2016-06-27	http://tjcwc.tongji.edu.cn/index.php?classid=9779&newsid=17030&t=show
经费卡如何变更项目负责人？	登录同济大学财务处网站下载《同济大学经费卡更改项目负责人申请表》，填写相关内容并加盖公章（若是专项经费，还需学校归口管理部门签字盖章批准同意；若是部门经费，还需携带学校相关人事任免文件），然后携带此申请表及经费卡前往四平校区行政北楼216室财务处预算管理科办理相关手续。科研项目原则上不得变更项目负责人，若合同变更负责人则需经科研院或文科办同意后前往行政北楼211室财务处科研经费管理科办理项目负责人更改手续。	2016-06-27	http://tjcwc.tongji.edu.cn/index.php?classid=9779&newsid=17031&t=show
报销经费审批单在哪儿领取？	经费报销本在四平路校区财务审核报销大厅咨询台、行政北楼211室财务处科研经费管理科或嘉定校区财务办公室领取。网上预约报销不需填写经费审批单。	2016-06-27	http://tjcwc.tongji.edu.cn/index.php?classid=9779&newsid=17027&t=show
忘记了财务信息系统的登录密码怎么办？	请携带校园一卡通或身份证证明到四平路校区行政北楼115室财务处会计科办理查询密码和重设，联系电话：55570666。	2016-06-17	http://tjcwc.tongji.edu.cn/index.php?classid=9778&newsid=16749&t=show
非项目负责人如何在财务查询系统进行项目查询？	方法有两种：（1）向项目负责人申请查询权限，由负责人通过网上直接授权。（2）通过财务处网上申请，并附书面说明，由项目负责人签字，并加盖学院公章，到行政北楼115室财务处会计科办理。	2016-06-27	http://tjcwc.tongji.edu.cn/index.php?classid=9778&newsid=17025&t=show
预约报销时，如何将农行借记卡与工号或学号关联上？	登陆同济大学财务信息系统，进入网上预约报账系统选择“报销信息维护——农行卡维护”，输入农行借记卡信息，即可关联。如换新卡需重新关联。	2016-06-27	http://tjcwc.tongji.edu.cn/index.php?classid=9778&newsid=17024&t=show
报销前如何查询经费卡内各项费用预算和使用的情况？	登录财务查询系统或在四平路校区审核报销大厅自助查询机查询项目经费的使用情况及明细，已设置预算的项目可以查询到各项经费的预算情况。	2016-06-27	http://tjcwc.tongji.edu.cn/index.php?classid=9778&newsid=17023&t=show
非在编教职工如何登录财务查询系统？	请携带校园一卡通或身份证证明到四平路校区行政北楼115室财务处会计科办理开通手续，联系电话：55570666。	2016-06-27	http://tjcwc.tongji.edu.cn/index.php?classid=9778&newsid=17026&t=show
教师的工资、奖酬金、报销款进卡、住房公积金账号等信息可在哪里查到？	登录同济大学财务信息系统，进入高级财务查询系统，进入“我的收入查询”、““我的财务信息“等栏目查询教职工个人的工资、奖酬金、公积金账号等信息。	2016-07-01	http://tjcwc.tongji.edu.cn/index.php?classid=9778&newsid=17140&t=show
如果农业银行“金穗借记卡”有其他问题如何解决？	2012年1月1日之前申领的借记卡有特殊原因请与农业银行控江路储蓄所（地址杨浦区鞍山路7号（控江路口）公交6、14、70、103、220、960新华医院站或鞍山路站下车即到。）联系，联系电话为65011904或65011924。2012年1月1日之后申领的借记卡有特殊原因请与农业银行翔殷路支行（地址杨浦区翔殷路1128号大西洋百货一楼）联系，用卡过程中发现任何疑问均可拨打电话95599垂询。	2016-06-27	http://tjcwc.tongji.edu.cn/index.php?classid=9781&newsid=17054&t=show
农业银行“金穗借记卡”损坏怎么办？	在上海区域范围内，凭本人有效身份证到就近农业银行网点办理换卡手续。	2016-06-27	http://tjcwc.tongji.edu.cn/index.php?classid=9781&newsid=17049&t=show
如何登录学校财务信息系统？	从财务处网站登录财务信息系统用户名为职工工号，密码为交行工资卡卡号后六位（老员工的初始密码为老版的交行工资卡卡号后六位）。校内人员从学校信息门户也可以直接登录财务信息系统。	2016-06-17	http://tjcwc.tongji.edu.cn/index.php?classid=9778&newsid=16748&t=show
如何查询个人住房公积金？	在财务查询系统中获取住房公积金账号后，可有两种方式进行具体明细查询：（1）网上查询：首先登录上海住房公积金网www.shgjj.com，在首页点击“个人用户登录”栏下的“注册”，输入住房公积金个人帐号、身份证号码、用户名、密码等信息注册成会员后，即可查询详细信息，包括个人住房公积金每月变动情况、个人贷款还款明细等。（2）声讯查询：拨打95001100声讯电话后，依照提示输入住房公积金个人帐号和生日（按年月日输入），即可查询所需资料。友情提示：各位教职工在公积金网站注册成会员后，请务必要记牢自己的用户名与密码。	2016-06-27	http://tjcwc.tongji.edu.cn/index.php?classid=9781&newsid=17044&t=show
在哪里办理公务卡和农行报销用借记卡？	携带校园一卡通和身份证复印件，到四平路校区行政北楼113室财务处会计科填写申请表，学校统一到农行五角场支行批量办卡。联系电话65980377。	2016-06-27	http://tjcwc.tongji.edu.cn/index.php?classid=9781&newsid=17046&t=show
办理银行汇款，我校交行工资卡的开户银行是哪里？	我校交通银行工资卡的开户银行是交通银行上海同济支行。	2016-06-27	http://tjcwc.tongji.edu.cn/index.php?classid=9781&newsid=17045&t=show
如何正确使用农业银行“金穗借记卡”？	持卡人应妥善保管金穗借记卡密码，防止泄露。凡密码相符的金穗借记卡交易均视为合法交易。因密码失密造成的资金损失，由持卡人自行承担。金穗借记卡及其帐户仅限于合法持卡人本人使用，不得转让或转借，否则，由此造成的资金损失由持卡人承担。目前常用的银行卡大多为磁卡，容易消磁、受损而导致无法使用，为避免损坏磁卡，请勿将两张磁卡的磁条对贴，勿与手机等磁性物体放得太近，勿将磁卡折叠。	2016-06-27	http://tjcwc.tongji.edu.cn/index.php?classid=9781&newsid=17053&t=show
农业银行“金穗借记卡”损坏后换卡或遗失后有关账户的信息如何处理？	“金穗借记卡”损坏后换卡或持卡人遗失借记卡办理书面挂失手续当场可补得新卡（除同号换卡需等10个工作日左右），原卡中的全部信息将会自动转入新卡内，不需再到财务处办理变更登记，所以，否则会影响银行代理学校扣收学费、发放奖学金等业务。书面挂失必须由本人凭有效身份证并提供卡号办理。	2016-06-27	http://tjcwc.tongji.edu.cn/index.php?classid=9781&newsid=17052&t=show
交通银行工资卡遗失后补办的新卡到财务处哪里登记？	交行卡遗失在银行办理挂失补办后，请带好校园卡和新办的银行卡，到财务处人员经费科（四平路校区行政北楼212室）和财务结算中心（四平路校区行政楼231室）登记新银行卡卡号。	2016-06-27	http://tjcwc.tongji.edu.cn/index.php?classid=9781&newsid=17043&t=show
农业银行“金穗借记卡”被盗或遗失怎么办？	请立即办理口头挂失手续后，再办理书面挂失。① 口头挂失：发现卡遗失请即刻拨打24小时服务电话95599临时报失。（需提供借记卡卡号、密码、持卡人身份证号码）② 书面挂失：书面挂失必须由本人办理。请持卡人本人凭有效身份证并提供卡号到就近农业银行网点办理。身份证遗失可到户口所在地的派出所办理临时身份证或加急办理身份证，无身份证不能办理书面挂失手续。同济沪西校区、嘉定校区的同学可在每周五下午到校区财务办公室办理挂失手续。以下三种情况的卡遗失必须到农行控江路支行办理书面挂失（每周五下午沪西和嘉定校区财务办也可办理）。① 卡号是955991003**********的卡。②开户日期为2004年6月17日（含）以后的955998003**********的卡。（开户日期可拨打电话95599垂询。③卡资料信息中证件号码为学号的卡。	2016-06-27	http://tjcwc.tongji.edu.cn/index.php?classid=9781&newsid=17051&t=show
交通银行工资卡、农业银行报销卡的联行号是多少？	交通银行工资卡：       联行号：301290050641       地址：彰武路41号        银行名称：交通银行同济支行农业银行报销卡：       联行号：103290035039       地址：翔殷路1128号       银行名称：农行翔殷支行（原名农行五角场支行）	2016-12-07	http://tjcwc.tongji.edu.cn/index.php?classid=9781&newsid=17314&t=show
农业银行“金穗借记卡”初始密码是什么？如何修改密码和密码重置？	初始密码为“111111”或“222222”。持卡人可在本市农行ATM机上和多媒体查询机修改，或者农行柜面修改。（不能留六位同样数字的密码；身份证有关的密码如出生年月；有规律的密码如123456）持卡人密码遗忘的请凭本人有效身份证到就近农行网点办理密码重置手续。	2016-06-27	http://tjcwc.tongji.edu.cn/index.php?classid=9781&newsid=17050&t=show
农行报销用借记卡的开户银行是哪里？	开户银行为中国农业银行股份有限公司上海翔殷支行。汇款行选择“中国农业银行股份有限公司上海五角场支行”。	2016-06-27	http://tjcwc.tongji.edu.cn/index.php?classid=9781&newsid=17047&t=show
